Name,Price,Link-For-Product
Airline Abaya,"₨2,000.00",https://buraqstore.com/product/airline-abaya/
Black Abaya,"₨2,600.00",https://buraqstore.com/product/black-abaya/
Black jasmine,"₨2,240.00",https://buraqstore.com/product/black-jasmine/
Butterfly abaya,"₨2,680.00",https://buraqstore.com/product/butterfly-abaya/
Cap Abaya,"₨2,500.00",https://buraqstore.com/product/cap-abaya/
Cinderella frock,"₨2,500.00",https://buraqstore.com/product/cinderella-frock/
Frill Abaya,"₨2,548.00",https://buraqstore.com/product/frill-abaya/
Frill Abaya,"₨3,200.00",https://buraqstore.com/product/frill-abaya-2/
Modest dress,"₨2,800.00",https://buraqstore.com/product/modest-dress/
Open abaya,"₨2,600.00",https://buraqstore.com/product/open-abaya/
Pearl kaftan,"₨2,500.00",https://buraqstore.com/product/pearl-kaftan/
Skirt & Shirt,"₨3,458.00",https://buraqstore.com/product/skirt-shirt/
Skirt and shirt,"₨2,500.00",https://buraqstore.com/product/skirt-and-shirt/
